stat              Ex-PART     Monolithic
----------------  ----------  ------------
LUT usage         126         38
Slice usage       73          22
Max frequency     189.72 MHz  215.38 MHz
Flip-flop usage   18          18
Synthesis time    1.02s       1.82s
HeAP placer time  0.04s       0.05s
SA placer time    0.01s       0.01s
Router1 time      0.08s       0.03s
