DUMMY_TILE_0,R0C0,#FFFFFF
DUMMY_TILE_8,R0C1,#FFFFFF
DUMMY_TILE_1,R0C2,#FFFFFF
BANKREF0,R0C3,#888888
PIOT0,R0C4,#88FF88
PIOT1,R0C5,#88FF88
PIOT0,R0C6,#88FF88
PIOT1,R0C7,#88FF88
DUMMY_TILE_8,R0C8,#FFFFFF
PIOT0,R0C9,#88FF88
PIOT1,R0C10,#88FF88
PIOT0,R0C11,#88FF88
PIOT1,R0C12,#88FF88
PIOT0,R0C13,#88FF88
DUMMY_TILE_A,R0C13,#FFFFFF
PIOT1,R0C14,#88FF88
PIOT0,R0C15,#88FF88
PIOT1,R0C16,#88FF88
DUMMY_TILE_8,R0C17,#FFFFFF
PIOT0,R0C18,#88FF88
PIOT1,R0C19,#88FF88
PIOT0,R0C20,#88FF88
PIOT1,R0C21,#88FF88
PIOT0,R0C22,#88FF88
PIOT1,R0C23,#88FF88
PIOT0,R0C24,#88FF88
PIOT1,R0C25,#88FF88
DUMMY_TILE_8,R0C26,#FFFFFF
PIOT0,R0C27,#88FF88
PIOT1,R0C28,#88FF88
PIOT0,R0C29,#88FF88
PIOT1,R0C30,#88FF88
PIOT0,R0C31,#88FF88
DUMMY_TILE_A,R0C31,#FFFFFF
PIOT1,R0C32,#88FF88
PIOT0,R0C33,#88FF88
PIOT1,R0C34,#88FF88
DUMMY_TILE_8,R0C35,#FFFFFF
PIOT0,R0C36,#88FF88
PIOT1,R0C37,#88FF88
PIOT0,R0C38,#88FF88
PIOT1,R0C39,#88FF88
PIOT0,R0C40,#88FF88
PIOT1,R0C41,#88FF88
PIOT0,R0C42,#88FF88
PIOT1,R0C43,#88FF88
DUMMY_TILE_8,R0C44,#FFFFFF
PIOT0,R0C45,#88FF88
PIOT1,R0C46,#88FF88
PIOT0,R0C47,#88FF88
PIOT1,R0C48,#88FF88
PIOT0,R0C49,#88FF88
PIOT1,R0C50,#88FF88
PIOT0,R0C51,#88FF88
PIOT1,R0C52,#88FF88
DUMMY_TILE_8,R0C53,#FFFFFF
PIOT0,R0C54,#88FF88
PIOT1,R0C55,#88FF88
PIOT0,R0C56,#88FF88
PIOT1,R0C57,#88FF88
PIOT0,R0C58,#88FF88
DUMMY_TILE_A,R0C58,#FFFFFF
PIOT1,R0C59,#88FF88
PIOT0,R0C60,#88FF88
PIOT1,R0C61,#88FF88
DUMMY_TILE_8,R0C62,#FFFFFF
PIOT0,R0C63,#88FF88
PIOT1,R0C64,#88FF88
PIOT0,R0C65,#88FF88
PIOT1,R0C66,#88FF88
TMID_0,R0C67,#888888
TMID_1,R0C68,#888888
PIOT0,R0C69,#88FF88
PIOT1,R0C70,#88FF88
PIOT0,R0C71,#88FF88
PIOT1,R0C72,#88FF88
DUMMY_TILE_8,R0C73,#FFFFFF
PIOT0,R0C74,#88FF88
PIOT1,R0C75,#88FF88
PIOT0,R0C76,#88FF88
PIOT1,R0C77,#88FF88
PIOT0,R0C78,#88FF88
DUMMY_TILE_A,R0C78,#FFFFFF
PIOT1,R0C79,#88FF88
PIOT0,R0C80,#88FF88
